1|Player 1|2025-08-29 13:24:55|0|0
2|TestPlayer|2025-08-29 13:29:31|0|0
3|TestPlayer2|2025-08-29 13:29:38|0|0
4|Player2|2025-08-29 14:33:26|0|0
5||2025-08-29 14:36:53|0|0
11|Madhuri|2025-08-31 16:10:10|450|107
12|dfgdfgdgf|2025-08-31 16:39:34|0|0
13|dfgdfg|2025-08-31 18:54:39|0|0
14|madhuri|2025-08-31 19:30:23|160|8
15|thth|2025-08-31 20:33:48|340|24
16|fdgdg|2025-08-31 21:35:28|0|0
17|sdfds|2025-08-31 21:37:33|140|4
18|dfgdfgdf|2025-08-31 21:53:48|390|29
19|dfg|2025-08-31 22:20:35|0|0
20|Mads|2025-08-31 22:24:58|4270|2867
21|Alex|2025-08-31 22:48:47|309090|55381
22|Tom|2025-08-31 23:25:40|1330|229
23|Jeff|2025-08-31 23:40:54|290|20
24|Kile|2025-08-31 23:42:42|110|1
25|Mady|2025-08-31 23:50:11|110|1
26|MAds|2025-08-31 23:56:44|0|0
27|mads|2025-09-01 00:48:31|730|63
28|Kyle|2025-09-01 00:58:07|90|8
29|Bro|2025-09-01 01:01:09|1875|90
30|test|2025-09-01 01:10:13|90|25
31|Bill|2025-09-01 01:13:02|90|14
32|Tim|2025-09-01 01:17:22|90|6
33|Ben|2025-09-01 01:20:29|140|15591
34|ben|2025-09-01 01:53:14|128045|18596
35|Mas|2025-09-01 02:37:14|110|30
36|sdfsf|2025-09-01 04:10:03|0|0
