1|35|2025-08-31 19:12:49|123|10|20
2|35|2025-08-31 19:12:51|123|10|20
3|35|2025-08-31 19:12:53|123|10|20
4|35|2025-08-31 19:12:55|123|10|20
5|37|2025-08-31 19:20:09||10|20
6|37|2025-08-31 19:20:22|1 3 2|10|20
7|37|2025-08-31 19:20:48|2 3 1|10|20
8|39|2025-08-31 19:30:26||10|20
9|39|2025-08-31 19:30:30|3 1 1|10|20
10|43|2025-08-31 19:54:58||10|20
11|43|2025-08-31 19:55:19|1 3 2|10|20
12|43|2025-08-31 19:55:26|1 1 1|10|20
13|43|2025-08-31 19:55:28|1 1 2|10|20
14|43|2025-08-31 19:55:30|1 1 1|10|20
15|43|2025-08-31 19:55:33|3 3 3|10|20
16|43|2025-08-31 19:55:35|3 3 1|10|20
17|43|2025-08-31 19:55:36|3 3 2|10|20
18|43|2025-08-31 19:55:39|1 1 2|10|20
19|45|2025-08-31 20:01:25||10|20
20|45|2025-08-31 20:01:28|1 1 3|10|20
21|45|2025-08-31 20:02:39|2 3 3|10|20
22|45|2025-08-31 20:02:41|2 3 3|10|20
23|45|2025-08-31 20:04:02|3 2 2|10|20
24|45|2025-08-31 20:04:03|3 1 2|10|20
25|45|2025-08-31 20:04:04|1 1 2|10|20
26|45|2025-08-31 20:04:06|1 3 3|10|20
27|45|2025-08-31 20:04:07|1 2 1|10|20
28|45|2025-08-31 20:05:58|2 2 1|10|20
29|45|2025-08-31 20:06:00|1 3 3|10|20
30|45|2025-08-31 20:06:20|2 3 2|10|20
31|45|2025-08-31 20:06:21|2 2 3|10|20
32|45|2025-08-31 20:06:24|2 2 3|10|20
33|45|2025-08-31 20:06:37|2 2 3|10|20
34|45|2025-08-31 20:06:39|1 2 2|10|20
35|45|2025-08-31 20:06:41|1 2 3|10|20
36|45|2025-08-31 20:06:42|1 1 3|10|20
37|45|2025-08-31 20:06:44|1 3 3|10|20
38|45|2025-08-31 20:06:45|2 1 3|10|20
39|45|2025-08-31 20:06:49|2 3 3|10|20
40|45|2025-08-31 20:06:55|1 2 3|10|20
41|45|2025-08-31 20:06:56|2 2 2|10|20
42|45|2025-08-31 20:06:58|1 2 3|10|20
43|45|2025-08-31 20:07:21|1 2 2|10|20
44|45|2025-08-31 20:07:22|1 1 2|10|20
45|45|2025-08-31 20:07:23|1 1 3|10|20
46|45|2025-08-31 20:07:25|1 2 3|10|20
47|45|2025-08-31 20:07:27|3 1 1|10|20
48|45|2025-08-31 20:07:29|1 3 3|10|20
49|45|2025-08-31 20:07:30|1 3 2|10|20
50|45|2025-08-31 20:08:00|1 2 2|10|20
51|45|2025-08-31 20:08:01|1 3 3|10|20
52|45|2025-08-31 20:08:06|1 1 1|10|20
53|45|2025-08-31 20:08:08|1 2 3|10|20
54|47|2025-08-31 20:13:14||10|20
55|47|2025-08-31 20:14:25|1 1 3|10|20
56|47|2025-08-31 20:16:04|1 3 3|10|20
57|47|2025-08-31 20:16:09|1 3 3|10|20
58|47|2025-08-31 20:16:17|1 2 2|10|20
59|47|2025-08-31 20:16:20|1 2 2|10|20
60|51|2025-08-31 20:33:51||10|20
61|51|2025-08-31 20:33:53|1 1 1|10|20
62|51|2025-08-31 20:33:55|3 1 3|10|20
63|51|2025-08-31 20:33:58|3 3 1|10|20
64|51|2025-08-31 20:34:03|2 2 2|10|20
65|51|2025-08-31 20:34:05|1 1 3|10|20
66|51|2025-08-31 20:34:07|1 1 3|10|20
67|51|2025-08-31 20:34:09|2 1 3|10|20
68|51|2025-08-31 20:34:11|1 1 2|10|20
69|51|2025-08-31 20:34:12|1 3 3|10|20
70|51|2025-08-31 20:34:14|1 2 2|10|20
71|51|2025-08-31 20:34:16|2 2 1|10|20
72|51|2025-08-31 20:34:19|2 3 3|10|20
73|51|2025-08-31 20:34:21|1 1 3|10|20
74|51|2025-08-31 20:34:23|1 1 3|10|20
75|51|2025-08-31 20:34:26|1 3 3|10|20
76|51|2025-08-31 20:34:28|1 2 2|10|20
77|51|2025-08-31 20:34:30|1 2 3|10|20
78|51|2025-08-31 20:34:32|1 2 3|10|20
79|51|2025-08-31 20:34:36|1 1 1|10|20
80|51|2025-08-31 20:34:39|1 2 3|10|20
81|51|2025-08-31 20:34:43|2 2 2|10|20
82|51|2025-08-31 20:34:45|2 3 2|10|20
83|51|2025-08-31 20:34:47|3 3 2|10|20
84|53|2025-08-31 20:54:24||10|20
